,Scientific Name,Common Name,Duration,Habit,Sun,Water
687,Coreopsis tinctoria,"Plains Coreopsis, Golden Tickseed, Goldenwave, Calliopsis",Annual,Herb,"Sun, Part-shade",Moist
688,Coreopsis tripteris,"Tall Tickseed, Tall Coreopsis",Perennial,Herb,Part-shade,Moist
689,Corispermum americanum,American Bugseed,Annual,Herb,Sun,Dry
690,Cornus alternifolia,"Alternateleaf Dogwood, Alternate-leaf Dogwood, Pagoda Dogwood",Perennial,Shrub,"Shade, Part-shade",Moist
691,Cornus amomum,"Silky Dogwood, Red Willow, Silky Cornel",Perennial,Shrub,"Shade, Part-shade","Wet, Moist"
692,Cornus canadensis,"Bunchberry Dogwood, Canadian Bunchberry",Perennial,Herb,"Sun, Shade, Part-shade",Moist
693,Cornus drummondii,"Roughleaf Dogwood, Drummond's Dogwood, Rough-leaf Dogwood",Perennial,Tree,"Shade, Part-shade","Moist, Dry"
694,Cornus florida,"Flowering Dogwood, Virginia Dogwood, Florida Dogwood, White Cornel, Arrowwood, American Boxwood, False Box, St. Peter's Crown, Corona De San Pedro",Perennial,Tree,"Shade, Part-shade","Moist, Dry"
695,Cornus foemina,"Stiff Dogwood, Swamp Dogwood",Perennial,Shrub,Part-shade,Wet
696,Cornus glabrata,"Brown Dogwood, Smooth-leaf Dogwood",Perennial,Shrub,"Sun, Shade, Part-shade",Wet
697,Cornus nuttallii,"Pacific Dogwood, Pacific Flowering Dogwood, Mountain Dogwood",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry"
698,Cornus obliqua,"Silky Dogwood, Pale Dogwood, Swamp Dogwood, Kinnikinnik",Perennial,Shrub,"Shade, Part-shade",Moist
699,Cornus racemosa,Gray Dogwood,Perennial,Shrub,"Sun, Shade, Part-shade",Moist
700,Cornus sericea ssp. sericea,"Redosier Dogwood, Red Osier Dogwood",Perennial,Tree,"Sun, Shade, Part-shade",
701,Cornus suecica,"Lapland Cornel, Dwarf Northern Cornel, Eurasian Dwarf Cornel, Bunchberry",Perennial,Subshrub,"Sun, Shade, Part-shade",Moist
702,Corydalis caseana,Sierra Fumewort,Perennial,Herb,Shade,
703,Corydalis scouleri,"Scouler's Fumewort, Western Corydalis, Scouler Corydalis",Perennial,Herb,,
704,Corylus americana,"American Hazelnut, American Filbert",Perennial,Shrub,"Shade, Part-shade","Moist, Dry"
705,Corylus cornuta,"Beaked Hazelnut, Beaked Filbert",Perennial,Shrub,"Sun, Shade, Part-shade",Moist
706,Cosmos parviflorus,"Southwestern Cosmos, Southwest Cosmos",Annual,Herb,Sun,Dry
707,Crassula aquatica,Water Pygmyweed,Annual,Herb,,
708,Crataegus aestivalis,"Mayhaw, May Hawthorn",Perennial,Shrub,Part-shade,Wet
709,Crataegus crus-galli,"Cockspur Hawthorn, Cockspur Thorn, Newcastle Hawthorn, Newcastle Thorn, Hog Apple",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry"
710,Crataegus douglasii,Black Hawthorn,Perennial,Shrub,"Sun, Shade, Part-shade","Wet, Moist"
711,Crataegus erythropoda,Cerro Hawthorn,Perennial,Tree,,
712,Crataegus marshallii,"Parsley Hawthorn, Parsleyleaf Hawthorn",Perennial,"Shrub, Tree",Part-shade,Dry
713,Crataegus mollis,"Downy Hawthorn, White Thorn, Whitethorn, Scarlet Hawthorn, Scarlet Haw, Red Haw, Downy Thorn",Perennial,"Shrub, Tree","Sun, Shade, Part-shade","Moist, Dry"
714,Crataegus opaca,"Mayhaw, Western Mayhaw, May Hawthorn, Riverflat Hawthorn, Applehaw, May Haw",Perennial,Tree,Part-shade,Wet
715,Crataegus phaenopyrum,"Washington Hawthorn, Washington-thorn",Perennial,Shrub,Sun,Moist
716,Crataegus pulcherrima,Beautiful Hawthorn,Perennial,"Shrub, Tree",,
717,Crataegus rivularis,River Hawthorn,Perennial,Tree,,
718,Crataegus spathulata,"Littlehip Hawthorn, Pasture Hawthorn, Smallfruit Hawthorn",Perennial,"Shrub, Tree",,
719,Crataegus viridis,"Green Hawthorn, Southern Hawthorn",Perennial,"Shrub, Tree",Part-shade,Wet
720,Crinum americanum,"American Crinum Lily, Seven Sisters, Swamp Lily, Southern Swamp Lily, String Lily, Crinum Lily",Perennial,Shrub,Part-shade,Wet
721,Croptilon divaricatum,"Slender Scratchdaisy, Scratch Daisy, Granite Daisy",Annual,Herb,,
722,Cryptogramma stelleri,Fragile Rockbrake,Perennial,"Herb, Fern","Sun, Shade, Part-shade",Moist
723,Cryptotaenia canadensis,"Canadian Honewort, Wild Chervil",Perennial,Herb,Part-shade,Moist
724,Cycloloma atriplicifolium,Winged Pigweed,Annual,Herb,Sun,"Moist, Dry"
725,Cymophyllus fraserianus,Fraser's Cymophyllus,Perennial,Grass/Grass-like,"Sun, Part-shade",
726,Cyperus articulatus,"Jointed Flatsedge, Chintul",Perennial,Grass/Grass-like,Part-shade,
727,Cyperus bipartitus,"Slender Flatsedge, Shining Cyperus",Annual,Grass/Grass-like,Sun,
728,Cyperus croceus,Baldwin's Flatsedge,Perennial,Grass/Grass-like,,
729,Cyperus dentatus,Toothed Flatsedge,Perennial,Grass/Grass-like,,
730,Cyperus diandrus,Umbrella Flatsedge,Annual,Grass/Grass-like,,
731,Cyperus elegans,Royal Flatsedge,Perennial,Grass/Grass-like,,
732,Cyperus esculentus,"Yellow Nutsedge, Chufa Sedge, Yellow Nut-grass",Perennial,Grass/Grass-like,"Sun, Part-shade",Moist
733,Cyperus lupulinus,Great Plains Flatsedge,Perennial,Grass/Grass-like,"Sun, Part-shade",Dry
734,Cyperus ochraceus,"Pond Flatsedge, Yellow Sedge",Perennial,Grass/Grass-like,Part-shade,
735,Cyperus odoratus,"Fragrant Flatsedge, Fragrant Sedge",Annual,Grass/Grass-like,Sun,
736,Cyperus onerosus,Plains Flatsedge,Perennial,Grass/Grass-like,,
737,Cyperus polystachyos,"Manyspike Flatsedge, Bunchy Sedge",Perennial,Grass/Grass-like,,
738,Cyperus pseudovegetus,"Marsh Flatsedge, Marsh Flat Sedge",Perennial,Grass/Grass-like,Sun,
739,Cyperus reflexus,Bentawn Flatsedge,Perennial,Grass/Grass-like,,
740,Cyperus retrorsus,Pine Barren Flatsedge,Perennial,Grass/Grass-like,,Dry
741,Cyperus schweinitzii,Schweinitz's Flatsedge,Perennial,Grass/Grass-like,Sun,Dry
742,Cyperus setigerus,Lean Flatsedge,Perennial,Grass/Grass-like,,
743,Cyperus squarrosus,Bearded Flatsedge,Annual,Grass/Grass-like,"Sun, Part-shade","Wet, Moist"
744,Cypripedium acaule,"Moccasin Flower, Pink Lady's Slipper",Perennial,Herb,"Shade, Part-shade","Moist, Dry"
745,Cypripedium arietinum,Ram's Head Lady's Slipper,Perennial,Herb,"Shade, Part-shade","Wet, Moist, Dry"
746,Cypripedium californicum,California Lady's Slipper,Perennial,Herb,,
747,Cypripedium candidum,"White Lady's Slipper, Small White Lady's Slipper",Perennial,Herb,Sun,Moist
748,Cypripedium fasciculatum,Clustered Lady's Slipper,Perennial,Herb,,
749,Cypripedium montanum,Mountain Lady's Slipper,Perennial,Herb,,
750,Cypripedium parviflorum,"Yellow Lady's-slipper Orchid, Lesser Yellow Lady's Slipper",Perennial,Herb,Part-shade,"Wet, Moist"
751,Cypripedium reginae,Showy Lady's Slipper,Perennial,Herb,,Moist
752,Cypripedium ×andrewsii,Andrews' Lady's-slipper,Perennial,Herb,"Sun, Part-shade",
753,Cyrilla racemiflora,"Titi, Swamp Titi, Black Titi, White Titi, Red Titi, Leatherwood, Swamp Cyrilla, American Cyrilla, Burnwood Bark, Palo Colorado",Perennial,Tree,Part-shade,Wet
754,Cystopteris bulbifera,Bulblet Bladder Fern,Perennial,"Herb, Fern",Shade,Moist
755,Cystopteris fragilis,"Brittle Bladderfern, Brittle Bladder Fern, Fragile Fern",Perennial,"Herb, Fern",Part-shade,Moist
756,Cystopteris montana,Mountain Bladderfern,Perennial,Fern,,
757,Cystopteris protrusa,Lowland Bladderfern,Perennial,"Herb, Fern",,Moist
758,Dactylorhiza viridis,Longbract Frog Orchid,Perennial,Herb,,
759,Damasonium californicum,"California Damsonium, Fringed Water Plantain",Perennial,Herb,Sun,
760,Danthonia californica,"California Oatgrass, California Wild Oat Grass",Perennial,Grass/Grass-like,Part-shade,Moist
761,Danthonia compressa,Flattened Oatgrass,Perennial,Grass/Grass-like,Part-shade,
762,Danthonia intermedia,"Timber Oatgrass, Timber Wild Oat Grass",Perennial,Grass/Grass-like,Part-shade,Wet
763,Danthonia sericea,Downy Danthonia,Perennial,Grass/Grass-like,,Dry
764,Darlingtonia californica,"California Pitcherplant, Cobra Plant, California Pitcher Plant",Perennial,"Herb, Subshrub",,
765,Darmera peltata,"Indian Rhubarb, Indian-rhubarb, Umbrella Plant",Perennial,Herb,Part-shade,Wet
766,Dasiphora fruticosa,"Shrubby Cinquefoil, Golden Hardhack, Potentilla",Perennial,Shrub,"Sun, Part-shade",
767,Datura wrightii,"Jimsonweed, Sacred Thorn-apple, Thorn-apple, Angel Trumpet, Sacred Datura, Western Jimson Weed",Perennial,Herb,"Sun, Part-shade",Dry
768,Decodon verticillatus,"Swamp Loosestrife, Swamp-loosestrife, Water Willow",Perennial,Herb,Sun,"Wet, Moist"
769,Decumaria barbara,"Decumaria, Climbing Hydrangea, Woodvamp",Perennial,Vine,Part-shade,Moist
770,Delphinium barbeyi,Subalpine Larkspur,Perennial,Herb,Shade,
771,Delphinium californicum,"California Larkspur, California Coast Larkspur",Perennial,Herb,Part-shade,Moist
772,Delphinium glaucum,"Sierra Larkspur, Tower Larkspur",Perennial,Herb,Part-shade,"Wet, Moist"
773,Delphinium hesperium,Foothill Larkspur,Perennial,Herb,,
774,Delphinium nuttallianum,"Twolobe Larkspur, Two-lobe Larkspur, Delphinium",Perennial,Herb,Sun,Dry
775,Delphinium recurvatum,Byron Larkspur,Perennial,Herb,Sun,
776,Delphinium ×occidentale,Duncecap Larkspur,Perennial,Herb,,
777,Dennstaedtia punctilobula,Eastern Hay-scented Fern,Perennial,"Herb, Fern","Shade, Part-shade",Moist
778,Deparia acrostichoides,"Silver False Spleenwort, Silvery Spleenwort, Silvery Glade Fern",Perennial,"Herb, Fern","Sun, Shade, Part-shade",
779,Deschampsia cespitosa,"Tufted Hairgrass, Tufted Hair Grass",Perennial,Grass/Grass-like,Part-shade,Wet
780,Deschampsia flexuosa,Wavy Hairgrass,Perennial,Grass/Grass-like,Part-shade,
781,Descurainia incana,Mountain Tansymustard,Annual,Herb,,
782,Desmanthus illinoensis,"Illinois Bundleflower, Bundleflower, Prairie Bundle Flower, Prickleweed, Illinois Desmanthus, Prairie Mimosa",Perennial,Shrub,Sun,Moist
783,Desmanthus virgatus,"Prostrate Bundleflower, Wild Tantan, Slender Mimosa",Perennial,"Herb, Subshrub",,
784,Desmodium canadense,Showy Tick Trefoil,Perennial,Herb,Sun,"Moist, Dry"
785,Desmodium paniculatum,"Panicledleaf Ticktrefoil, Panicled Tick Trefoil, Velcro Vine",Perennial,Herb,Part-shade,Dry
786,Dicentra formosa,"Pacific Bleeding Heart, Pacific Bleedinghearts, Western Bleedingheart",Perennial,Herb,"Sun, Shade, Part-shade",Moist
787,Dichanthelium acuminatum,Tapered Rosette Grass,Perennial,Grass/Grass-like,,
788,Dichanthelium boreale,Northern Panicgrass,Perennial,Grass/Grass-like,"Sun, Shade, Part-shade",Moist
789,Dichanthelium clandestinum,"Deertongue, Deer-tongue",Perennial,Grass/Grass-like,Sun,Wet
790,Dichanthelium commutatum,Variable Panicgrass,Perennial,Grass/Grass-like,Part-shade,Moist
791,Dichanthelium dichotomum,Cypress Panicgrass,Perennial,Grass/Grass-like,,
792,Dichanthelium leibergii,"Leiberg's Panicum, Prairie Panicgrass, Leiberg's Panicgrass, Prairie Panic Grass",Perennial,Grass/Grass-like,,
793,Dichanthelium leucothrix,Rough Panicgrass,Perennial,Grass/Grass-like,,
794,Dichanthelium ovale,Eggleaf Rosette Grass,Perennial,Grass/Grass-like,Part-shade,
795,Dichanthelium sphaerocarpon,Roundseed Panicgrass,Perennial,Grass/Grass-like,,
796,Dichelostemma capitatum,Bluedicks,Perennial,Herb,,
797,Dichondra carolinensis,"Carolina Ponyfoot, Ponyfoot",Perennial,Herb,,
798,Dichondra recurvata,"Oakwoods Ponysfoot, Oakwoods Ponyfoot",Perennial,Herb,,
799,Dicliptera brachiata,"Branched Foldwing, Branched Dicliptera",Perennial,Herb,Part-shade,Moist
800,Dicliptera sexangularis,Sixangle Foldwing,Perennial,Herb,,
801,Diodia teres,Poorjoe,Annual,Herb,,
802,Diodia virginiana,"Virginia Buttonweed, Buttonweed",Annual,Subshrub,,
803,Dionaea muscipula,"Venus Flytrap, Meadow Clam, Tippitywichit",Perennial,Herb,,
804,Dioscorea villosa,Wild Yam,Perennial,Vine,,
805,Diospyros virginiana,"Eastern Persimmon, Common Persimmon, Possumwood, Date Plum, Winter Plum, Jove's Fruit",Perennial,Tree,"Sun, Part-shade","Moist, Dry"
806,Diphylleia cymosa,"American Umbrellaleaf, Umbrella-leaf",Perennial,Herb,,
807,Diplacus douglasii,"Brownies, Selfing Monkeyflower, Selfing Monkey-flower",Annual,Herb,,
808,Diplacus nanus,"Dwarf Purple Monkeyflower, Pygmy Monkeyflower",Annual,Herb,Sun,
809,Diplacus parviflorus,Island Bush Monkeyflower,Perennial,Subshrub,,
810,Diplacus tricolor,Tricolor Monkeyflower,Annual,Herb,,
811,Diplazium pycnocarpon,Glade Fern,Perennial,"Herb, Fern",,
812,Dirca palustris,"Eastern Leatherwood, Western Leatherwood, Ropebark, Wicopy",Perennial,Shrub,"Shade, Part-shade","Moist, Dry"
813,Distichlis spicata,"Saltgrass, Coastal Salt Grass, Inland Salt-grass",Perennial,Grass/Grass-like,Sun,Wet
814,Dodecatheon alpinum,Alpine Shootingstar,Perennial,Herb,,
815,Dodecatheon conjugens,Bonneville Shootingstar,Perennial,Herb,Sun,Dry
816,Dodecatheon dentatum,White Shootingstar,Perennial,Herb,Shade,Moist
817,Dodecatheon frigidum,"Western Arctic Shootingstar, Western Artic Shootingstar, Northern Shootingstar",Perennial,Herb,Sun,Dry
818,Dodecatheon jeffreyi,"Sierra Shootingstar, Tall Mountain Shootingstar",Perennial,Herb,Part-shade,Wet
819,Dodecatheon pulchellum,"Darkthroat Shooting Star, Few-flower Shooting Star, Western Shooting Star",Perennial,Herb,Part-shade,Moist
820,Dodecatheon subalpinum,Sierra Shootingstar,Perennial,Herb,,
821,Dodonaea viscosa,"Florida Hopbush, Hopseed Bush, Switch Sorrel, Varnish Leaf, Hopbush, Chapoliztle, Casol",Perennial,Shrub,Sun,Dry
822,Doellingeria umbellata,"Parasol Whitetop, Flat-topped White Aster",Perennial,Herb,Sun,Moist
823,Downingia cuspidata,Toothed Calicoflower,Annual,Herb,,
824,Draba helleriana,Heller's Draba,Biennial,Herb,,
825,Dracopis amplexicaulis,"Clasping Coneflower, Clasping-leaf Coneflower",Annual,Herb,Part-shade,Moist
826,Drosera anglica,"English Sundew, Narrowleaf Sundew",Perennial,Herb,,
827,Drosera brevifolia,"Dwarf Sundew, Spatulate-leaved Sundew",Perennial,Herb,,
828,Drosera capillaris,Pink Sundew,Annual,Herb,,
829,Drosera filiformis,Threadleaf Sundew,Perennial,Herb,,
830,Drosera intermedia,Spoonleaf Sundew,Perennial,Herb,Sun,
831,Drosera linearis,Slenderleaf Sundew,Perennial,Herb,,
832,Drosera rotundifolia,Roundleaf Sundew,Perennial,Herb,Sun,Wet
833,Drosera tracyi,Tracy's Sundew,Perennial,Herb,,
834,Dryas drummondii,"Drummond's Mountain-avens, Yellow Mountain-avens, Yellow Dryas",Perennial,Herb,Sun,Dry
835,Dryas integrifolia,Entireleaf Mountain-avens,Perennial,"Herb, Subshrub",,"Moist, Dry"
836,Dryopteris campyloptera,Mountain Woodfern,Perennial,"Herb, Fern",,
837,Dryopteris carthusiana,"Spinulose Woodfern, Spinulose Wood Fern, Shield Fern, Toothed Wood Fern",Perennial,"Herb, Fern","Shade, Part-shade",Moist
838,Dryopteris celsa,Log Fern,Perennial,Fern,,
839,Dryopteris clintoniana,Clinton's Woodfern,Perennial,"Herb, Fern",,Moist
840,Dryopteris cristata,"Crested Woodfern, Crested Wood Fern, Buckler Fern",Perennial,"Herb, Fern","Sun, Shade, Part-shade",Moist
841,Dryopteris expansa,Spreading Woodfern,Perennial,"Herb, Fern","Shade, Part-shade",Moist
842,Dryopteris goldieana,Goldie's Woodfern,Perennial,"Herb, Fern","Shade, Part-shade",Moist
843,Dryopteris intermedia,"Intermediate Woodfern, Evergreen Wood-fern, Fancy Wood Fern",Perennial,"Herb, Fern",Shade,Moist
844,Dryopteris ludoviciana,"Southern Woodfern, Florida Shieldfern",Perennial,Fern,"Shade, Part-shade","Wet, Moist"
845,Dryopteris marginalis,"Marginal Woodfern, Marginal Fern, Marginal Shieldfern",Perennial,Fern,"Shade, Part-shade",Moist
846,Dryopteris ×australis,Woodfern,Perennial,Fern,,
847,Dryopteris ×boottii,Boott's Woodfern,Perennial,Fern,,
848,Dryopteris ×triploidea,Triploid Woodfern,Perennial,Fern,,
849,Dulichium arundinaceum,"Threeway Sedge, Three-sided Sedge",Perennial,Grass/Grass-like,Part-shade,Wet
850,Echinocystis lobata,Wild Cucumber,Annual,Vine,Sun,Moist
851,Echinodorus berteroi,Upright Burrhead,Annual,Herb,,
852,Echinodorus cordifolius,"Creeping Burhead, Lance-leaf Burhead, Radican Sword, Burhead, Creeping Water-plantain",Annual,Herb,Shade,Wet
853,Eclipta prostrata,"Pie Plant, False Daisy, Eclipta","Annual, Perennial",Herb,,
854,Elaeagnus commutata,"Silverberry, American Silverberry, Wild Olive, Wolf Willow",Perennial,Shrub,"Sun, Shade, Part-shade",Dry
855,Elatine americana,American Waterwort,Annual,Herb,,
856,Elatine minima,Small Waterwort,Annual,Herb,,
857,Eleocharis acicularis,Needle Spikerush,"Annual, Perennial",Grass/Grass-like,Sun,
858,Eleocharis atropurpurea,Purple Spikerush,Annual,Grass/Grass-like,,
859,Eleocharis cellulosa,Gulf Coast Spikerush,Perennial,Grass/Grass-like,,
860,Eleocharis elliptica,Elliptic Spikerush,Perennial,Grass/Grass-like,,
861,Eleocharis equisetoides,Jointed Spikesedge,Perennial,Grass/Grass-like,Sun,Wet
862,Eleocharis flavescens,"Yellow Spikerush, Pale Spike-rush, Wrinkle-sheathed Spike-rush",Perennial,Grass/Grass-like,,
863,Eleocharis halophila,Saltmarsh Spikerush,Perennial,Grass/Grass-like,,
864,Eleocharis intermedia,Matted Spikerush,Annual,Grass/Grass-like,,
865,Eleocharis interstincta,Knotted Spikerush,Perennial,Grass/Grass-like,,
866,Eleocharis microcarpa,Smallfruit Spikerush,Annual,Grass/Grass-like,,
867,Eleocharis montevidensis,"Sand Spikerush, Spike Rush",Perennial,Grass/Grass-like,Sun,"Wet, Moist"
868,Eleocharis nitida,Quill Spikerush,Perennial,Grass/Grass-like,,
869,Eleocharis obtusa,Blunt Spikerush,Annual,Grass/Grass-like,Sun,
870,Eleocharis olivacea,Bright Green Spikerush,Perennial,Grass/Grass-like,,
871,Eleocharis palustris,"Common Spikerush, Common Spike-rush, Creeping Spikesedge",Perennial,Grass/Grass-like,Part-shade,Wet
872,Eleocharis parvula,Dwarf Spikerush,Annual,Grass/Grass-like,Sun,
873,Eleocharis quadrangulata,Squarestem Spikerush,Perennial,Grass/Grass-like,Sun,
874,Eleocharis quinqueflora,Fewflower Spikerush,Perennial,Grass/Grass-like,,
875,Eleocharis robbinsii,Robbins' Spikerush,Perennial,Grass/Grass-like,,
876,Eleocharis rostellata,"Beaked Spikerush, Leap Frog Spike Rush",Perennial,Grass/Grass-like,Part-shade,Wet
877,Eleocharis tenuis,Slender Spikerush,Perennial,Grass/Grass-like,Sun,
878,Eleocharis tuberculosa,"Cone-cup Spikerush, Tubercled Spikerush, Long-tubercled Spikerush",Perennial,Grass/Grass-like,,
879,Elephantopus carolinianus,Carolina Elephantsfoot,Perennial,Herb,,
880,Elionurus tripsacoides,"Pan American Balsamscale, Balsamscale",Perennial,Grass/Grass-like,Sun,Dry
881,Elliottia pyroliflora,Copperbush,Perennial,Shrub,,
882,Elodea canadensis,Canadian Waterweed,Perennial,Herb,Sun,
883,Elodea nuttallii,Western Waterweed,Perennial,Herb,,
884,Elymus canadensis,"Canada Wild Rye, Canadian Wildrye, Prairie Wildrye, Nodding Wildrye",Perennial,Grass/Grass-like,"Sun, Part-shade",Moist
885,Elymus glaucus,"Blue Wildrye, Blue Wild Rye",Perennial,Grass/Grass-like,Part-shade,Moist
886,Elymus hystrix,"Eastern Bottlebrush Grass, Bottlebrush Grass",Perennial,Grass/Grass-like,"Sun, Part-shade","Moist, Dry"
887,Elymus lanceolatus,"Thickspike Wheatgrass, Streambank Wheatgrass",Perennial,Grass/Grass-like,,
888,Elymus riparius,"Riverbank Wildrye, Riverbank Wild-rye",Perennial,Grass/Grass-like,"Shade, Part-shade",Moist
889,Elymus trachycaulus,Slender Wheatgrass,Perennial,Grass/Grass-like,,
890,Elymus villosus,Hairy Wildrye,Perennial,Grass/Grass-like,,
891,Elymus virginicus,"Virginia Wild Rye, Virginia Wildrye",Perennial,Grass/Grass-like,Part-shade,Moist
892,Elymus wiegandii,Wiegand's Wildrye,Perennial,Grass/Grass-like,,
893,Empetrum nigrum,Black Crowberry,Perennial,Shrub,Sun,"Wet, Moist, Dry"
894,Enemion biternatum,"Eastern False Rue Anemone, Isopyrum",Perennial,Herb,"Shade, Part-shade","Wet, Moist"
895,Epilobium anagallidifolium,Pimpernel Willowherb,Perennial,Herb,,
896,Epilobium ciliatum,Fringed Willowherb,Perennial,Herb,,
897,Epilobium coloratum,Purpleleaf Willowherb,Perennial,Herb,Part-shade,
898,Epilobium hornemannii,Hornemann's Willowherb,Perennial,Herb,,
899,Epilobium lactiflorum,Milkflower Willowherb,Perennial,Herb,,
900,Epilobium leptocarpum,"Slenderfruit Willowherb, Small-flowered Willow Herb",Perennial,Herb,,
901,Epilobium leptophyllum,Bog Willowherb,Perennial,Herb,Part-shade,
902,Epilobium luteum,Yellow Willowherb,Perennial,Herb,,
903,Epilobium obcordatum,Rockfringe,Perennial,Herb,Sun,
904,Epilobium palustre,Marsh Willowherb,Perennial,Herb,,
905,Epilobium strictum,Downy Willowherb,Perennial,Herb,,
906,Epipactis gigantea,"Stream Orchid, Chatterbox Orchid, Giant Hellebore",Perennial,Herb,"Shade, Part-shade","Wet, Moist"
907,Equisetum arvense,Field Horsetail,Perennial,Herb,"Sun, Shade, Part-shade","Wet, Moist"
908,Equisetum fluviatile,Water Horsetail,Perennial,Herb,"Sun, Shade, Part-shade","Wet, Moist"
909,Equisetum hyemale,"Scouring-rush Horsetail, Horsetail, Scouring Rush, Canuela",Perennial,Herb,"Sun, Shade, Part-shade","Wet, Moist"
910,Equisetum laevigatum,"Smooth Horsetail, Horsetail",Perennial,Herb,Sun,
911,Equisetum palustre,Marsh Horsetail,Perennial,Herb,"Sun, Shade, Part-shade",Moist
912,Equisetum pratense,Meadow Horsetail,Perennial,Herb,"Sun, Shade, Part-shade",Moist
913,Equisetum scirpoides,Dwarf Scouringrush,Perennial,Herb,"Sun, Shade, Part-shade",Moist
914,Equisetum sylvaticum,Woodland Horsetail,Perennial,Herb,"Sun, Shade, Part-shade",Moist
915,Equisetum variegatum,Variegated Scouringrush,Perennial,Herb,"Sun, Shade, Part-shade",Moist
916,Eragrostis pectinacea,"Tufted Lovegrass, Tufted Love Grass",Annual,Grass/Grass-like,,
917,Eragrostis spectabilis,"Purple Lovegrass, Purple Love Grass, Purple Plains Lovegrass, Tumblegrass, Petticoat Climber",Perennial,Grass/Grass-like,Sun,Moist
918,Erechtites hieraciifolius var. hieraciifolius,American Burnweed,Annual,Herb,,
919,Erigeron acris,"Bitter Fleabane, Bitter Daisy, Blue Fleabane","Annual, Biennial, Perennial",Herb,,
920,Erigeron acris ssp. debilis,Bitter Fleabane,Annual,Herb,,
921,Erigeron annuus,"Eastern Daisy Fleabane, Daisy Fleabane",Annual,Herb,,
922,Erigeron coulteri,Large Mountain Fleabane,Perennial,Herb,,
923,Erigeron elatior,Tall Fleabane,Perennial,Herb,,
924,Erigeron flagellaris,Trailing Fleabane,Biennial,Herb,,
925,Erigeron formosissimus,Beautiful Fleabane,Perennial,Herb,,
926,Erigeron glabellus,Streamside Fleabane,"Biennial, Perennial",Herb,"Sun, Shade, Part-shade",Dry
927,Erigeron glaucus,"Seaside Fleabane, Seaside Daisy",Perennial,Herb,Part-shade,
928,Erigeron humilis,Arctic Alpine Fleabane,Perennial,Herb,,
929,Erigeron hyssopifolius,"Hyssopleaf Fleabane, Hyssop-leaf Fleabane",Perennial,Herb,,
930,Erigeron lanatus,Woolly Fleabane,Perennial,Herb,,
931,Erigeron melanocephalus,"Blackhead Fleabane, Black-head Fleabane",Perennial,Herb,,
932,Erigeron peregrinus,"Subalpine Fleabane, Coastal Fleabane, Mountain Daisy, Fleabane",Perennial,Herb,Part-shade,Moist
933,Erigeron philadelphicus,"Philadelphia Fleabane, Fleabane Daisy",Biennial,Herb,Part-shade,
934,Erigeron procumbens,Corpus Christi Fleabane,Perennial,Herb,,
935,Erigeron pulchellus,"Robin's Plantain, Poor Robin's Plantain, Rose Petty, Robert's Plantain, Blue Spring-daisy",Perennial,Herb,Part-shade,Moist
936,Erigeron quercifolius,"Oakleaf Fleabane, Southern Fleabane, Oak-leaf Fleabane",Annual,Herb,,
937,Erigeron strigosus,"Prairie Fleabane, Daisy Fleabane, Common Eastern Fleabane","Annual, Biennial, Perennial",Herb,Sun,
938,Erigeron vernus,Early Whitetop Fleabane,Perennial,Herb,,
939,Eriocaulon aquaticum,"Seven-angle Pipewort, Common Pipewort, Hatpins",Perennial,Herb,,Wet
940,Eriocaulon compressum,"Flattened Pipewort, Hat Pins",Perennial,Herb,Part-shade,Wet
941,Eriocaulon decangulare,"Ten-angle Pipewort, Pipewort",Perennial,Herb,Sun,
942,Eriocaulon parkeri,Estuary Pipewort,Perennial,Herb,,
943,Eriogonum ovalifolium,Cushion Buckwheat,Perennial,"Herb, Subshrub",,
944,Eriophorum angustifolium,Tall Cottongrass,Perennial,Grass/Grass-like,Sun,Wet
945,Eriophorum chamissonis,Chamisso's Cottongrass,Perennial,Grass/Grass-like,Sun,Wet
946,Eriophorum gracile,Slender Cottongrass,Perennial,Grass/Grass-like,Sun,
947,Eriophorum gracile var. gracile,Slender Cottongrass,Perennial,Grass/Grass-like,,
948,Eriophorum russeolum,Red Cottongrass,Perennial,"Herb, Grass/Grass-like",,
949,Eriophorum scheuchzeri,White Cottongrass,Perennial,Grass/Grass-like,,
950,Eriophorum tenellum,Fewnerved Cottongrass,Perennial,Grass/Grass-like,,
951,Eriophorum vaginatum,Tussock Cottongrass,Perennial,Grass/Grass-like,,
952,Eriophorum virginicum,Tawny Cottongrass,Perennial,Grass/Grass-like,Sun,Wet
953,Eriophorum viridicarinatum,Thinleaf Cottonsedge,Perennial,Grass/Grass-like,,
954,Ernodea littoralis,"Coughbush, Golden Creeper",Perennial,Shrub,Sun,
955,Eryngium aquaticum,"Rattlesnakemaster, Rattlesnake-master, Snakeroot",Biennial,Herb,Part-shade,Wet
956,Eryngium heterophyllum,"Wright's Eryngo, Mexican Thistle",Perennial,Herb,,
957,Eryngium hookeri,Hooker's Eryngo,Annual,Herb,,
958,Eryngium integrifolium,"Blueflower Eryngo, Blue-flower Coyote-thistle",Perennial,Herb,,
959,Eryngium prostratum,Creeping Eryngo,Perennial,Herb,,
960,Eryngium yuccifolium,"Rattlesnake Master, Button Eryngo, Button Snakeroot, Beargrass, Bear's Grass",Perennial,Herb,Sun,Moist
